Word	Style_W	Wordstem	Chapter 0	Chapter 1	Chapter 2	Chapter 3	Chapter 4	Chapter 5	Chapter 6	Chapter 7	Chapter 8	Chapter 9	Chapter 10	Chapter 11	Chapter 12,
kbkbkb	Not found	kbkbkb	1	85	117	115	151	135	151	180	144	163	158	126	116	0
alice	Not found	alic	1	28	26	23	31	35	43	51	39	52	30	16	23	0
thing	noun	thing	0	7	11	6	8	3	8	14	5	8	4	3	3	0
thought	noun	thought	0	8	9	4	9	6	10	5	7	7	6	8	1	0
time	noun	time	0	9	8	2	7	6	5	18	5	4	5	4	4	0
could	auxiliary-verb	could	0	8	7	5	5	4	10	6	7	5	8	5	7	0
queen	noun	queen	0	0	0	0	0	0	4	2	37	14	0	9	10	0
king	noun	king	0	0	0	0	0	0	0	0	14	2	0	26	22	0
well	noun	well	0	7	2	1	4	10	5	15	3	6	2	5	3	0
don	noun	don	0	1	3	2	6	6	7	7	8	10	4	2	5	0
turtle	noun	turtle	0	0	0	0	0	0	0	0	0	28	31	0	2	0
head	noun	head	0	4	3	2	7	4	4	6	16	3	1	2	8	0
began	Not found	began	0	3	6	3	6	4	5	4	9	2	5	8	3	0
hatter	verb	hatter	0	0	0	0	0	0	3	33	0	0	0	21	0	0
mock	verb	mock	0	0	0	0	0	0	0	0	0	26	28	0	2	0
gryphon	noun	gryphon	0	0	0	0	0	0	0	0	0	20	31	2	2	0
rabbit	noun	rabbit	0	9	4	0	16	0	0	0	6	0	1	8	8	0
voice	noun	voice	0	0	4	2	9	3	0	1	6	4	10	6	6	0
cat	noun	cat	0	5	8	2	0	0	24	0	11	0	0	0	0	0
look	verb	look	0	4	3	2	3	2	5	4	8	3	4	4	3	0
mouse	noun	mouse	0	1	20	20	1	0	0	1	0	0	0	0	1	0
duchess	noun	duchess	0	0	2	0	2	0	14	0	3	19	0	1	1	0
round	adjective	round	0	3	2	6	5	2	4	3	7	2	2	4	1	0
tone	noun	tone	0	0	2	3	3	5	5	3	5	5	6	0	3	0
large	adjective	large	0	5	2	2	8	2	8	2	3	2	0	4	2	0
dormouse	noun	dormouse	0	0	0	0	0	0	0	27	0	0	0	13	0	0
great	adjective	great	0	2	5	1	7	0	3	6	3	2	2	5	3	0
eye	noun	eye	0	3	4	1	4	1	4	5	2	2	4	1	5	0
march	noun	march	0	0	0	0	0	0	5	22	1	0	0	6	1	0
reply	verb	repli	0	0	0	4	0	5	2	7	2	4	7	3	0	0
long	adjective	long	0	4	3	6	4	1	3	4	0	1	3	1	4	0
hand	noun	hand	0	3	3	2	2	6	0	0	6	0	2	4	5	0
day	verb	dai	0	1	2	1	0	5	6	3	1	9	0	2	3	0
will	noun	will	0	1	3	2	5	3	1	0	1	1	15	1	0	0
dear	adjective	dear	0	3	11	5	3	0	1	0	3	2	0	1	3	0
minute	noun	minute	0	2	0	1	4	8	3	3	6	1	1	1	2	0
door	noun	door	0	9	3	0	7	1	8	2	0	0	0	2	0	0
hare	noun	hare	0	0	0	0	0	0	4	21	0	0	0	5	1	0
moment	noun	moment	0	4	3	0	7	3	3	0	5	3	0	1	2	0
heard	verb	heard	0	0	3	1	9	0	0	2	5	5	4	0	1	0
turn	noun	turn	0	2	1	1	1	4	4	1	6	2	4	3	1	0
white	adjective	white	0	2	4	0	3	1	0	0	4	0	1	7	8	0
caterpillar	noun	caterpillar	0	0	0	0	1	26	0	0	0	0	1	0	0	0
three	adjective	three	0	1	0	1	1	4	1	4	11	0	0	4	1	0
going	noun	going	0	6	1	1	2	2	2	3	7	1	2	0	0	0
poor	adjective	poor	0	4	5	2	3	2	3	1	0	1	0	5	1	0
good	adjective	good	0	3	3	0	5	5	4	2	0	2	0	2	1	0
change	verb	change	0	0	5	1	2	7	2	2	0	1	3	0	3	0
course	noun	course	0	0	0	6	0	0	0	5	0	5	5	2	3	0
won	verb	won	0	0	5	2	2	1	1	3	0	1	10	0	1	0
remark	noun	remark	0	0	0	1	0	2	4	10	2	6	0	1	0	0
wonder	noun	wonder	0	7	2	2	5	1	1	1	3	1	2	0	0	0
